id de la partícula "i" 	-	 id's de las partículas cuya distancia borde-borde es menos de rc 
162	-	570, 511, 1092, 791, 1227, 428, 875, 34, 778, 1360, 1159, 712, 935, 462, 1123, 1147, 709, 1170, 593, 1053, 1329, 1341, 1067, 107, 
1170	-	570, 1092, 791, 778, 1360, 1159, 712, 935, 462, 1123, 1147, 709, 793, 162, 593, 601, 1053, 1329, 1341, 1067, 107, 279, 291, 1356, 
593	-	1360, 1159, 712, 935, 462, 1123, 1147, 709, 793, 853, 162, 1170, 601, 1053, 1329, 1341, 1067, 107, 291, 1356, 758, 1007, 1008, 1301, 236, 1140, 1043, 
601	-	1159, 1123, 709, 1170, 593, 1053, 1329, 1341, 1067, 107, 799, 279, 771, 64, 291, 1356, 758, 1007, 1008, 1301, 236, 1140, 137, 376, 425, 890, 1043, 
1053	-	203, 588, 570, 1092, 791, 778, 1360, 1159, 712, 935, 462, 1123, 709, 162, 1170, 593, 601, 1329, 1341, 1067, 107, 799, 279, 490, 771, 291, 
1329	-	570, 778, 1360, 1159, 712, 935, 462, 1123, 1147, 709, 793, 853, 162, 1170, 593, 601, 1053, 1341, 1067, 107, 291, 1356, 1007, 1301, 
1341	-	203, 588, 570, 511, 1092, 791, 428, 778, 1360, 1159, 712, 935, 462, 1123, 709, 162, 1170, 593, 601, 1053, 1329, 1067, 107, 799, 279, 490, 771, 291, 
1067	-	1360, 1159, 1123, 709, 162, 1170, 593, 601, 1053, 1329, 1341, 107, 799, 279, 64, 291, 1356, 758, 1007, 1008, 1301, 236, 1140, 137, 1043, 
107	-	1159, 709, 162, 1170, 593, 601, 1053, 1329, 1341, 1067, 799, 279, 771, 64, 291, 1356, 758, 1007, 1008, 1301, 1140, 137, 376, 425, 890, 1043, 
727	-	618, 1227, 875, 778, 486, 280, 1023, 1126, 183, 713, 395, 1455, 1451, 180, 806, 873, 1190, 926, 1150, 1048, 1360, 712, 935, 1191, 462, 1123, 1147, 793, 853, 1062, 
1360	-	570, 511, 1092, 791, 162, 1170, 593, 1053, 1329, 1341, 1067, 1227, 428, 875, 34, 778, 727, 1159, 712, 935, 1191, 462, 1123, 1147, 709, 793, 
1159	-	162, 1170, 593, 601, 1053, 1329, 1341, 1067, 107, 778, 1455, 1150, 1360, 712, 935, 462, 1123, 1147, 709, 793, 291, 1356, 758, 1007, 1008, 1301, 236, 853, 1062, 346, 1419, 
712	-	570, 511, 1092, 162, 1170, 593, 1053, 1329, 1341, 1227, 428, 875, 34, 778, 1455, 727, 1360, 1159, 935, 1191, 462, 1123, 1147, 709, 793, 853, 
935	-	570, 162, 1170, 593, 1053, 1329, 1341, 1227, 875, 778, 1455, 806, 1150, 727, 1360, 1159, 712, 1191, 462, 1123, 1147, 709, 793, 291, 853, 1062, 346, 
1191	-	618, 1227, 875, 778, 731, 486, 1095, 280, 1023, 1126, 687, 183, 713, 395, 1455, 1451, 180, 806, 873, 1190, 926, 1150, 727, 1360, 712, 935, 462, 1123, 1147, 793, 
462	-	570, 162, 1170, 593, 1053, 1329, 1341, 1227, 428, 875, 778, 1455, 727, 1360, 1159, 712, 935, 1191, 1123, 1147, 709, 793, 291, 853, 1062, 
1123	-	162, 1170, 593, 601, 1053, 1329, 1341, 1067, 778, 183, 1455, 1150, 1048, 727, 1360, 1159, 712, 935, 1191, 462, 1147, 709, 793, 291, 1356, 758, 1007, 1008, 853, 1062, 346, 1419, 
1147	-	162, 1170, 593, 1329, 778, 183, 1455, 1451, 806, 1150, 792, 1048, 41, 808, 727, 1360, 1159, 712, 935, 1191, 462, 1123, 709, 793, 291, 853, 1062, 346, 1419, 
